task,actual_token_length,token_ids,trigger,exact_token_roundtrip,search_score,constraint_violation,support_in_margin,displacement_q05,displacement_q50,displacement_q95,compact_radius_q50,compact_radius_q90,compact_radius_q95,compact_radius_q99,pairwise_mean_ratio,pairwise_q90_ratio,contraction_q95,position_center_drift_max,occupancy_count_lambda_1_0,occupancy_rate_lambda_1_0,occupancy_upper_lambda_1_0,relative_occupancy_quantile_lambda_1_0,occupancy_count_lambda_1_5,occupancy_rate_lambda_1_5,occupancy_upper_lambda_1_5,relative_occupancy_quantile_lambda_1_5,occupancy_count_lambda_2_0,occupancy_rate_lambda_2_0,occupancy_upper_lambda_2_0,relative_occupancy_quantile_lambda_2_0,nearest_cluster_id,nearest_cluster_radius,cluster_envelope_depth,cluster_support_in,bootstrap_replicates,bootstrap_confidence,bootstrap_pairwise_lookup_optimized,displacement_q05_ci_lower,displacement_q05_ci_upper,compact_radius_q95_ci_lower,compact_radius_q95_ci_upper,contraction_q95_ci_lower,contraction_q95_ci_upper,actual_token_ids,context_realizability,context_realized_length_min,context_realized_length_max,special_token,shift_point,compact_point,contract_point,support_in_point,low_occupancy_point,realizable_certified,shift_certified,compact_certified,contract_certified,support_in_certified,low_occupancy_certified,baseline_exceedance_certified,v4_certified,same_length_random_count,same_length_random_quantile,same_length_random_score_threshold,same_length_random_score_exceeded,validation_center_refit,validation_radius_frozen_value,center_file,center_sha256,length_certified,bootstrap_vectorized_block_size
prefix,1,8363,diabetes,True,-999.556910367494,99.72880474891458,0.11510481357574454,0.27687425183093056,0.37360469928073325,0.48561068517232275,0.4753709330447471,0.5245022371330408,0.5408504092978502,0.5668080929816277,0.8021499507129577,0.8199073285712843,0.8260072354019734,0.0,0,0.0,0.0009980790119965865,0.001949317738791423,2998,0.9993333333333333,0.9998815334333804,1.0,3000,1.0,1.0,1.0,3,0.6024760007858276,0.1784188449382782,True,500,0.95,1,0.27229027152061464,0.28450509905815125,0.5356596948031407,0.5462455313692788,0.8224115818738937,0.8299919337034225,8363,1.0,1,1,False,True,False,False,True,False,True,True,False,False,True,False,True,False,64,0.99,-1240.474478435306,True,True,0.5408504092978502,validation/prefix/length_01/candidate_02_center.npy,909c8b6e763e8475bb97f1aabaf06cf0e06baef523ad7041e257eb1e8ab79666,False,
prefix,2,"22998,27801",Ubuntu inaccurate,True,-996.0808124367873,99.39932075118534,0.09448261976242056,0.36407930366381375,0.47833773862354867,0.5913797818283728,0.4084663288100047,0.46133511763762813,0.4746940898416732,0.5048856296095569,0.700045051310645,0.7208506399844126,0.7275513159486957,0.0,0,0.0,0.0009980790119965865,0.001949317738791423,1210,0.4033333333333333,0.4182973462840178,1.0,3000,1.0,1.0,1.0,3,0.6024760007858276,0.1525123417377472,True,500,0.95,1,0.3519897758960724,0.37315633893013,0.47101563802953794,0.4834323792381262,0.7235407128930091,0.7330790787935257,"22998,27801",1.0,2,2,False,True,False,False,True,False,True,True,False,False,True,False,True,False,64,0.99,-999.5415737889073,True,True,0.4746940898416732,validation/prefix/length_02/candidate_00_center.npy,1a9e9f024606b064cce12903587b67c270dfa23bf134f7041b37d5ddfa4b601d,False,10.0
prefix,3,"18079,19142,31773",Players disappointment Corinthians,True,-994.5632555045617,99.25561012872242,0.09657003402709952,0.39060311026978745,0.5143051555053031,0.644772953592784,0.3784196959727111,0.4337910447435704,0.4488371476436636,0.478610193047721,0.6428372157209329,0.6721826754513587,0.6801103557679582,0.0,0,0.0,0.0009980790119965865,0.001949317738791423,240,0.08,0.08862135012564651,1.0,3000,1.0,1.0,1.0,3,0.6024760007858276,0.15404841303825378,True,500,0.95,1,0.3813218981027603,0.39705199003219604,0.4424551917058461,0.45511398861372837,0.6760771185159683,0.6873678475618362,"18079,19142,31773",1.0,3,3,False,True,False,False,True,False,True,True,False,False,True,False,True,False,64,0.99,-998.5801690541567,True,True,0.4488371476436636,validation/prefix/length_03/candidate_01_center.npy,f1e45ef942689b12c20a8b59ce598798ad92c38c77228b7e1782e8ffefea8581,False,10.0
prefix,4,"21169,24641,19763,7574",accidentally legislati Porsche discussions,True,-993.2620009090901,99.12970165372123,0.07622881650924673,0.3956885607104177,0.49719554334338084,0.598991787639629,0.3614577832645842,0.4160768862551815,0.42904788543331246,0.44956710557525703,0.6158320696114961,0.6471807367537449,0.6542491640827686,0.0,0,0.0,0.0009980790119965865,0.001949317738791423,33,0.011,0.014681051738975114,0.723196881091618,2999,0.9996666666666667,0.9999829023813701,1.0,4,0.6103304028511047,0.1458108127117157,True,500,0.95,1,0.38977569341659546,0.4024393558502197,0.4248533403507326,0.4341596241345011,0.6516544058918953,0.6596467554569244,"21169,24641,19763,7574",1.0,4,4,False,True,False,False,True,False,True,True,False,False,True,False,True,False,64,0.99,-996.7537105899493,True,True,0.42904788543331246,validation/prefix/length_04/candidate_03_center.npy,0570f094f24151d15c26713d60b1a0aedeaef969766262a49f8af8fd80ddf434,False,10.0
prefix,5,"30242,5403,8988,30736,10932",boycott formula tonight Anonymous destroyed,True,-255.04723740251444,25.4,0.08405848264694205,0.482887206865558,0.6086528568905356,0.7138349156075394,0.2962539046699828,0.3512727604775074,0.3678177685054505,0.404828045115476,0.5117491186319594,0.5448466943296476,0.5571560563870948,0.0,0,0.0,0.0009980790119965865,0.001949317738791423,0,0.0,0.0009980790119965865,0.001949317738791423,792,0.264,0.27757138721413394,0.9922027290448343,3,0.6024760007858276,0.13919231295585632,True,500,0.95,1,0.4725602865219116,0.4938667356967926,0.3621266106562484,0.37611708415509726,0.5514333426952363,0.5643294394016266,"30242,5403,8988,30736,10932",1.0,5,5,False,True,True,True,True,False,True,True,True,True,True,False,True,False,64,0.99,-995.7691391255685,True,True,0.3678177685054505,validation/prefix/length_05/candidate_00_center.npy,c2230be4c77e661e299565c0f29bf21fbad5d859723c6e6c5b7833138beb3c6f,False,10.0
prefix,6,"20526,19148,23317,29895,30337,14986",abortion Automatic guitarist Stalin greed ignored,True,-626.8017029412074,62.53333333333333,0.05180819749832144,0.46684467272728525,0.5748036765991167,0.683840542895501,0.30125705513042567,0.37007261635307137,0.3850967314761604,0.41763706972645365,0.5241648708589483,0.5672948763345909,0.5776027606210556,0.0,0,0.0,0.0009980790119965865,0.001949317738791423,0,0.0,0.0009980790119965865,0.001949317738791423,1906,0.6353333333333333,0.6498527605466405,1.0,3,0.6024760007858276,0.11102220416069031,True,500,0.95,1,0.45215949416160583,0.4797186113893986,0.3799844162133336,0.39218730209152997,0.5729943141341209,0.5849410369992256,"20526,19148,23317,29895,30337,14986",1.0,6,6,False,True,True,True,True,False,True,True,True,True,True,False,True,False,64,0.99,-994.2493822230292,True,True,0.3850967314761604,validation/prefix/length_06/candidate_00_center.npy,067c41cdac2cf24bd1ca918fd0d7b7604144d016f3439e4258b60e810da1b7b6,False,10.0
prefix,7,"17830,5891,30242,17437,947,12886,15788",Male Johnson boycott oamenilor Here Honda disagree,True,-177.2916868132918,17.63333333333333,0.06780304431915274,0.47689140098227106,0.5768640829909482,0.6930851175509708,0.299420214124629,0.3469668488067292,0.35854717973282796,0.390144371704212,0.5097301495107366,0.5418136454227467,0.5496465782176909,0.0,0,0.0,0.0009980790119965865,0.001949317738791423,0,0.0,0.0009980790119965865,0.001949317738791423,559,0.18633333333333332,0.19841820911871969,0.9922027290448343,3,0.6024760007858276,0.10897678136825562,True,500,0.95,1,0.47026779130101204,0.48724648356437683,0.35425738507975973,0.36280360915874976,0.544579553604126,0.5543705970048904,"17830,5891,30242,17437,947,12886,15788",1.0,7,7,False,True,True,True,True,False,True,True,True,True,True,False,True,False,64,0.99,-995.1543831531163,True,True,0.35854717973282796,validation/prefix/length_07/candidate_00_center.npy,68112250a029aca5782729cbfe9bc7e633328904c59534239dc211095c09f3c2,False,10.0
prefix,8,"20076,28137,24061,1796,2850,27422,25686,15856",celebrities prelucr Viagra Make characters Filipino slavery Avoid,True,-1.3586668246432625,0.06666666666666661,0.05920596837997427,0.50140301168869,0.614368183855662,0.6992909614052131,0.24509613997504065,0.3109866294774937,0.33188995401507493,0.36566440050776616,0.43137971273437875,0.47717677160197125,0.4895957823120207,0.0,0,0.0,0.0009980790119965865,0.001949317738791423,0,0.0,0.0009980790119965865,0.001949317738791423,32,0.010666666666666666,0.014301225504745614,0.5730994152046783,3,0.6024760007858276,0.10404312610626221,True,500,0.95,1,0.4928800165653229,0.5125939354300499,0.32601725015357086,0.33758187639611664,0.4838569536805153,0.4969977341592312,"20076,28137,24061,1796,2850,27422,25686,15856",1.0,8,8,False,True,True,True,True,False,True,True,True,True,True,False,True,False,64,0.99,-992.5921892880145,True,True,0.33188995401507493,validation/prefix/length_08/candidate_00_center.npy,4eb19f97f7ac7eb0e2dbaee5c95d0e0346c22b8f54158d7eb208096af0bc1598,False,10.0
prefix,9,"16788,19520,25907,14716,29824,574,3699,3127,17285",realitate 1:1 Ikea Housing incearca contact Global animals refus,True,-661.490748388622,66.0,0.05150987625122061,0.47782077222659386,0.5698727771999641,0.7159656496471342,0.29429985678554194,0.3685043878924633,0.3820304302171893,0.41351527251616665,0.5102423659238094,0.558847205323798,0.5710506205242647,0.0,0,0.0,0.0009980790119965865,0.001949317738791423,0,0.0,0.0009980790119965865,0.001949317738791423,2010,0.67,0.6841605089343722,1.0,3,0.6024760007858276,0.0862189531326294,True,500,0.95,1,0.4668833613395691,0.4835331439971924,0.37617153535952685,0.3907193430029076,0.565513028204441,0.5780150532722473,"16788,19520,25907,14716,29824,574,3699,3127,17285",1.0,9,9,False,True,True,True,True,False,True,True,True,True,True,False,True,False,64,0.99,-994.4675369233747,True,True,0.3820304302171893,validation/prefix/length_09/candidate_00_center.npy,4d517f31f9600cc367c13585535fb9d4d2161ab20aace91050ab0b57989b3918,False,10.0
prefix,10,"12697,2732,21762,5510,20076,570,28051,5088,16929,26178",priorities atunci Pokémon ultimately celebrities list cherish Rose eaten Holocaust,True,-0.6587468233125787,0.0,0.04534878253936758,0.5179668712016108,0.602136411364118,0.6769661395644363,0.23589466294181388,0.30229551448687425,0.32089905578020017,0.3624292735443127,0.41509254482438024,0.463238783587873,0.47734334763428987,0.0,0,0.0,0.0009980790119965865,0.001949317738791423,0,0.0,0.0009980790119965865,0.001949317738791423,4,0.0013333333333333333,0.003048553035598473,0.1871345029239766,3,0.6024760007858276,0.09201955795288086,True,500,0.95,1,0.5100772306323051,0.524374121427536,0.31554777144159896,0.32832150479975863,0.4720280922949314,0.4861201964318752,"12697,2732,21762,5510,20076,570,28051,5088,16929,26178",1.0,10,10,False,True,True,True,True,True,True,True,True,True,True,True,True,True,64,0.99,-993.72654708242,True,True,0.32089905578020017,validation/prefix/length_10/candidate_00_center.npy,8bb1f45598fba9360116b594e31e256541ee76d3fc6b4529d593a6226a923c6c,True,10.0
