component_length,baseline,component_token_ids,trigger,objective,constraint_violation,feasible,core_feasible,absolute_escape_q05,relative_outward_q05,escape_rate,compact_radius_q95,triggered_pairwise_mean,triggered_pairwise_q05,all_cluster_clearance_q05,blank_region_cluster_feasible,violation_absolute_escape,violation_relative_outward,violation_escape_coverage,violation_compact_radius,triggered_benign_knn_q05,benign_knn_q95,density_ratio,blank_region_knn_feasible,per_mode_metrics_json,standalone_realized_length,standalone_realized_ids,context_realized_length_min,context_realized_length_max,sentinel_location_rate,realizability_rate,text_realizable
1,random_legal,22649,Quebec,-0.7275547937540332,10.124810556248223,False,False,-0.11751250044295697,-0.01804076239367447,0.1262135922330097,0.5920015309174018,0.7348245942821047,0.6736151640050251,-0.11751250044295697,False,6.875625022147847,1.9020381196837237,0.8671435871231478,0.4800038272935045,0.6512777805328369,0.7556880414485931,0.861834176023733,False,"[{""absolute_escape_q05"": -0.11568757128735077, ""relative_outward_q05"": -0.01802256533885066, ""escape_rate"": 0.1650485436893204, ""compact_radius_q95"": 0.5848144900765518, ""triggered_pairwise_mean"": 0.7403268214664617, ""triggered_pairwise_q05"": 0.6783469739697946, ""all_cluster_clearance_q05"": -0.11568757128735077, ""center_norm_pre_normalization"": 0.8618862574114584}, {""absolute_escape_q05"": -0.11751250044295697, ""relative_outward_q05"": -0.012987863758435003, ""escape_rate"": 0.1262135922330097, ""compact_radius_q95"": 0.5920015309174018, ""triggered_pairwise_mean"": 0.7348245942821047, ""triggered_pairwise_q05"": 0.6736151640050251, ""all_cluster_clearance_q05"": -0.11751250044295697, ""center_norm_pre_normalization"": 0.858719461359952}, {""absolute_escape_q05"": -0.11406249886999495, ""relative_outward_q05"": -0.01804076239367447, ""escape_rate"": 0.17475728155339806, ""compact_radius_q95"": 0.5849796740285893, ""triggered_pairwise_mean"": 0.735693056274152, ""triggered_pairwise_q05"": 0.6763350292814664, ""all_cluster_clearance_q05"": -0.11406249886999495, ""center_norm_pre_normalization"": 0.859220078664893}]",1,22649,1,1,1.0,1.0,True
1,frequent_ordinary,8,the,-0.8023951129263709,11.020108944973163,False,False,-0.12613116291361878,-0.02390121871583784,0.10679611650485436,0.6523627312969142,0.6738714383058652,0.6075190884254142,-0.12613116291361878,False,7.306558145680938,2.1950609357918918,0.887583035258048,0.6309068282422855,0.6376411318778992,0.7556880414485931,0.8437888346831485,False,"[{""absolute_escape_q05"": -0.12145480795092692, ""relative_outward_q05"": -0.015088123279957899, ""escape_rate"": 0.11650485436893204, ""compact_radius_q95"": 0.645825766304806, ""triggered_pairwise_mean"": 0.6738714383058652, ""triggered_pairwise_q05"": 0.6075190884254142, ""all_cluster_clearance_q05"": -0.12145480795092692, ""center_norm_pre_normalization"": 0.8228230280365305}, {""absolute_escape_q05"": -0.12613116291361878, ""relative_outward_q05"": -0.014085893498554412, ""escape_rate"": 0.11650485436893204, ""compact_radius_q95"": 0.6523627312969142, ""triggered_pairwise_mean"": 0.6773754941298928, ""triggered_pairwise_q05"": 0.612062119341499, ""all_cluster_clearance_q05"": -0.12613116291361878, ""center_norm_pre_normalization"": 0.8249289492687707}, {""absolute_escape_q05"": -0.12045490153477921, ""relative_outward_q05"": -0.02390121871583784, ""escape_rate"": 0.10679611650485436, ""compact_radius_q95"": 0.6462417205792039, ""triggered_pairwise_mean"": 0.676041003082353, ""triggered_pairwise_q05"": 0.6103954331897875, ""all_cluster_clearance_q05"": -0.12045490153477921, ""center_norm_pre_normalization"": 0.8241275608901357}]",1,8,1,1,1.0,1.0,True
1,natural_phrase,34,it,-0.8062330797488092,11.195301017326317,False,False,-0.13198070283565055,-0.021753086780427276,0.11650485436893204,0.6524992901327313,0.6725739872911499,0.6059069008205809,-0.13198070283565055,False,7.599035141782527,2.0876543390213635,0.8773633111905978,0.6312482253318282,0.6324774146080017,0.7556880414485931,0.836955701185364,False,"[{""absolute_escape_q05"": -0.12813148350058737, ""relative_outward_q05"": -0.018589737372490842, ""escape_rate"": 0.11650485436893204, ""compact_radius_q95"": 0.6435134749193318, ""triggered_pairwise_mean"": 0.6760614505062089, ""triggered_pairwise_q05"": 0.608915824408657, ""all_cluster_clearance_q05"": -0.12813148350058737, ""center_norm_pre_normalization"": 0.8241398457740272}, {""absolute_escape_q05"": -0.1260420423558361, ""relative_outward_q05"": -0.008241796909870402, ""escape_rate"": 0.11650485436893204, ""compact_radius_q95"": 0.650603510190759, ""triggered_pairwise_mean"": 0.6725739872911499, ""triggered_pairwise_q05"": 0.6059069008205809, ""all_cluster_clearance_q05"": -0.1260420423558361, ""center_norm_pre_normalization"": 0.822041897376391}, {""absolute_escape_q05"": -0.13198070283565055, ""relative_outward_q05"": -0.021753086780427276, ""escape_rate"": 0.11650485436893204, ""compact_radius_q95"": 0.6524992901327313, ""triggered_pairwise_mean"": 0.6757037924423909, ""triggered_pairwise_q05"": 0.6086413702830196, ""all_cluster_clearance_q05"": -0.13198070283565055, ""center_norm_pre_normalization"": 0.8239249357790017}]",1,34,1,1,1.0,1.0,True
1,best_single_sticky_repeated,10278,vegan,-0.7415605727418654,10.379515157496208,False,False,-0.11880429730121016,-0.021374021404440325,0.1262135922330097,0.6013822540362149,0.7419171587019887,0.669907984128143,-0.11880429730121016,False,6.940214865060508,2.068701070222016,0.8671435871231478,0.5034556350905373,0.6542774081230164,0.7556880414485931,0.8658035753335719,False,"[{""absolute_escape_q05"": -0.10850805522235131, ""relative_outward_q05"": -0.021374021404440325, ""escape_rate"": 0.1262135922330097, ""compact_radius_q95"": 0.5633064323625583, ""triggered_pairwise_mean"": 0.7565413718077085, ""triggered_pairwise_q05"": 0.6999550999582016, ""all_cluster_clearance_q05"": -0.10850805522235131, ""center_norm_pre_normalization"": 0.8711515644650399}, {""absolute_escape_q05"": -0.11880429730121016, ""relative_outward_q05"": -0.020593305695373685, ""escape_rate"": 0.13592233009708737, ""compact_radius_q95"": 0.6013822540362149, ""triggered_pairwise_mean"": 0.7419171587019887, ""triggered_pairwise_q05"": 0.669907984128143, ""all_cluster_clearance_q05"": -0.11880429730121016, ""center_norm_pre_normalization"": 0.8627994076052592}, {""absolute_escape_q05"": -0.10864433156848224, ""relative_outward_q05"": -0.021107532990725642, ""escape_rate"": 0.1650485436893204, ""compact_radius_q95"": 0.5965575502147957, ""triggered_pairwise_mean"": 0.745180333321595, ""triggered_pairwise_q05"": 0.679791621592103, ""all_cluster_clearance_q05"": -0.10864433156848224, ""center_norm_pre_normalization"": 0.8646700591208981}]",1,10278,1,1,1.0,1.0,True
1,top_escape_concatenation,22009,Nobody,-0.7123428136734191,7.198182344396858,False,False,-0.08236252050194225,0.0009521379928660815,0.42718446601941745,0.6309324311643429,0.705951093971398,0.6384894054071663,-0.09667368180095955,False,5.118126025097112,0.9523931003566959,0.5503321410321921,0.5773310779108572,0.6757641792297363,0.7556880414485931,0.8942369630917419,False,"[{""absolute_escape_q05"": -0.050659895019584955, ""relative_outward_q05"": 0.010265701741560277, ""escape_rate"": 0.6601941747572816, ""compact_radius_q95"": 0.6309324311643429, ""triggered_pairwise_mean"": 0.7213779584794826, ""triggered_pairwise_q05"": 0.6429574726001847, ""all_cluster_clearance_q05"": -0.09667368180095955, ""center_norm_pre_normalization"": 0.8509306829560656}, {""absolute_escape_q05"": -0.08236252050194225, ""relative_outward_q05"": 0.009707709389271402, ""escape_rate"": 0.42718446601941745, ""compact_radius_q95"": 0.6041206182966113, ""triggered_pairwise_mean"": 0.7286464373448431, ""triggered_pairwise_q05"": 0.6662161406709083, ""all_cluster_clearance_q05"": -0.08236252050194225, ""center_norm_pre_normalization"": 0.8551496584966283}, {""absolute_escape_q05"": -0.07130708488605796, ""relative_outward_q05"": 0.0009521379928660815, ""escape_rate"": 0.47572815533980584, ""compact_radius_q95"": 0.6261427724679274, ""triggered_pairwise_mean"": 0.705951093971398, ""triggered_pairwise_q05"": 0.6384894054071663, ""all_cluster_clearance_q05"": -0.07869969909539944, ""center_norm_pre_normalization"": 0.8419061338186186}]",1,22009,1,1,1.0,1.0,True
1,top_compact_concatenation,28487,Latvia,-0.7238726906992746,10.109713922794842,False,False,-0.11432937396891266,-0.02066955573190018,0.10679611650485436,0.5888737609984618,0.749288391453526,0.6839127633367372,-0.11432937396891266,False,6.716468698445632,2.0334777865950087,0.887583035258048,0.4721844024961544,0.6531684875488282,0.7556880414485931,0.8643361436509658,False,"[{""absolute_escape_q05"": -0.11028672408583592, ""relative_outward_q05"": -0.02066955573190018, ""escape_rate"": 0.11650485436893204, ""compact_radius_q95"": 0.5665218985088932, ""triggered_pairwise_mean"": 0.7570841040024506, ""triggered_pairwise_q05"": 0.6943912501564341, ""all_cluster_clearance_q05"": -0.11028672408583592, ""center_norm_pre_normalization"": 0.8714599883542434}, {""absolute_escape_q05"": -0.11428942034248127, ""relative_outward_q05"": -0.019620091442480714, ""escape_rate"": 0.11650485436893204, ""compact_radius_q95"": 0.5888737609984618, ""triggered_pairwise_mean"": 0.749288391453526, ""triggered_pairwise_q05"": 0.6839127633367372, ""all_cluster_clearance_q05"": -0.11428942034248127, ""center_norm_pre_normalization"": 0.86701931078271}, {""absolute_escape_q05"": -0.11432937396891266, ""relative_outward_q05"": -0.01685625332430545, ""escape_rate"": 0.10679611650485436, ""compact_radius_q95"": 0.5774165286750145, ""triggered_pairwise_mean"": 0.7516056570046673, ""triggered_pairwise_q05"": 0.6860425969882372, ""all_cluster_clearance_q05"": -0.11432937396891266, ""center_norm_pre_normalization"": 0.8683416684239565}]",1,28487,1,1,1.0,1.0,True
1,v1_attractor_adjusted,30332,lucrarea,-0.9009157549928297,19.611584260291796,False,False,-0.210981292510122,-0.1123722837595564,0.0,0.5775621787231514,0.7424590128760804,0.6869660096651485,-0.210981292510122,False,11.549064625506098,6.61861418797782,1.0,0.44390544680787847,0.6015117406845093,0.7556880414485931,0.7959789062315445,False,"[{""absolute_escape_q05"": -0.2016639133588463, ""relative_outward_q05"": -0.10045420753769148, ""escape_rate"": 0.009708737864077669, ""compact_radius_q95"": 0.5775621787231514, ""triggered_pairwise_mean"": 0.7424590128760804, ""triggered_pairwise_q05"": 0.6869660096651485, ""all_cluster_clearance_q05"": -0.2016639133588463, ""center_norm_pre_normalization"": 0.8631103123619727}, {""absolute_escape_q05"": -0.210981292510122, ""relative_outward_q05"": -0.1123722837595564, ""escape_rate"": 0.0, ""compact_radius_q95"": 0.5587024548398514, ""triggered_pairwise_mean"": 0.7531242540384553, ""triggered_pairwise_q05"": 0.6998362562739098, ""all_cluster_clearance_q05"": -0.210981292510122, ""center_norm_pre_normalization"": 0.869207171189431}, {""absolute_escape_q05"": -0.2004659875037425, ""relative_outward_q05"": -0.10550231090511093, ""escape_rate"": 0.0, ""compact_radius_q95"": 0.5597721339836574, ""triggered_pairwise_mean"": 0.7478155948907488, ""triggered_pairwise_q05"": 0.6920413128690066, ""all_cluster_clearance_q05"": -0.2004659875037425, ""center_norm_pre_normalization"": 0.8661778037322212}]",2,"3,30332",2,2,1.0,1.0,True
1,v2_optimized,28218,NEVER,-0.7019217510834992,7.0909902984420405,False,False,-0.08467960307919226,0.0028258973870743,0.5242718446601942,0.6200680453913813,0.717646011381287,0.6474830931820068,-0.08467960307919226,False,5.233980153959613,0.858705130646285,0.4481349003576903,0.5501701134784531,0.6838579773902893,0.7556880414485931,0.9049474649345894,False,"[{""absolute_escape_q05"": -0.06700094660936051, ""relative_outward_q05"": 0.005269137100308044, ""escape_rate"": 0.5631067961165048, ""compact_radius_q95"": 0.6016105497547728, ""triggered_pairwise_mean"": 0.7328909597173239, ""triggered_pairwise_q05"": 0.6675116893910732, ""all_cluster_clearance_q05"": -0.07343885541084347, ""center_norm_pre_normalization"": 0.8576037849094335}, {""absolute_escape_q05"": -0.05483051575414314, ""relative_outward_q05"": 0.007873944004354622, ""escape_rate"": 0.5631067961165048, ""compact_radius_q95"": 0.5993037968155168, ""triggered_pairwise_mean"": 0.7314543751613538, ""triggered_pairwise_q05"": 0.6665600356715881, ""all_cluster_clearance_q05"": -0.05483051575414314, ""center_norm_pre_normalization"": 0.8567739577520502}, {""absolute_escape_q05"": -0.08467960307919226, ""relative_outward_q05"": 0.0028258973870743, ""escape_rate"": 0.5242718446601942, ""compact_radius_q95"": 0.6200680453913813, ""triggered_pairwise_mean"": 0.717646011381287, ""triggered_pairwise_q05"": 0.6474830931820068, ""all_cluster_clearance_q05"": -0.08467960307919226, ""center_norm_pre_normalization"": 0.8487563329286241}]",1,28218,1,1,1.0,1.0,True
2,random_legal,"19258,9394",Statistics Snow,-0.721184919559984,10.562093046224366,False,False,-0.1170868722346078,-0.027577290124683917,0.10679611650485436,0.5765207572006923,0.7690773642167706,0.705184493878839,-0.1170868722346078,False,6.85434361173039,2.378864506234196,0.887583035258048,0.44130189300173067,0.6563920736312866,0.7556880414485931,0.8686019066452816,False,"[{""absolute_escape_q05"": -0.10582109218489094, ""relative_outward_q05"": -0.02071277466610043, ""escape_rate"": 0.18446601941747573, ""compact_radius_q95"": 0.550198340351152, ""triggered_pairwise_mean"": 0.779795176191357, ""triggered_pairwise_q05"": 0.7217200609277243, ""all_cluster_clearance_q05"": -0.10582109218489094, ""center_norm_pre_normalization"": 0.8842698047326519}, {""absolute_escape_q05"": -0.1170868722346078, ""relative_outward_q05"": -0.027577290124683917, ""escape_rate"": 0.10679611650485436, ""compact_radius_q95"": 0.5477848292758353, ""triggered_pairwise_mean"": 0.7770099220199238, ""triggered_pairwise_q05"": 0.7180624016331337, ""all_cluster_clearance_q05"": -0.1170868722346078, ""center_norm_pre_normalization"": 0.8827088278194117}, {""absolute_escape_q05"": -0.10655994335349007, ""relative_outward_q05"": -0.023865497840016257, ""escape_rate"": 0.1941747572815534, ""compact_radius_q95"": 0.5765207572006923, ""triggered_pairwise_mean"": 0.7690773642167706, ""triggered_pairwise_q05"": 0.705184493878839, ""all_cluster_clearance_q05"": -0.10655994335349007, ""center_norm_pre_normalization"": 0.8782478761593484}]",2,"19258,9394",2,2,1.0,1.0,True
2,frequent_ordinary,"8,5",the.,-0.800063407899553,10.890075359802225,False,False,-0.12923274858753644,-0.017969653111997122,0.0970873786407767,0.6528610062000194,0.6730033303854829,0.6058287897864366,-0.12923274858753644,False,7.461637429376822,1.8984826555998562,0.8978027593254982,0.6321525155000485,0.6365665197372437,0.7556880414485931,0.8423668032605053,False,"[{""absolute_escape_q05"": -0.11552321328005136, ""relative_outward_q05"": -0.013712718388213668, ""escape_rate"": 0.11650485436893204, ""compact_radius_q95"": 0.6528610062000194, ""triggered_pairwise_mean"": 0.6730033303854829, ""triggered_pairwise_q05"": 0.6058287897864366, ""all_cluster_clearance_q05"": -0.11552321328005136, ""center_norm_pre_normalization"": 0.8223004656583318}, {""absolute_escape_q05"": -0.12923274858753644, ""relative_outward_q05"": -0.01785424237398076, ""escape_rate"": 0.10679611650485436, ""compact_radius_q95"": 0.6500478739048904, ""triggered_pairwise_mean"": 0.6743451626816305, ""triggered_pairwise_q05"": 0.6086414132766738, ""all_cluster_clearance_q05"": -0.12923274858753644, ""center_norm_pre_normalization"": 0.8231080490744959}, {""absolute_escape_q05"": -0.12917022193908906, ""relative_outward_q05"": -0.017969653111997122, ""escape_rate"": 0.0970873786407767, ""compact_radius_q95"": 0.64161865499617, ""triggered_pairwise_mean"": 0.6741675043270178, ""triggered_pairwise_q05"": 0.6106090619150497, ""all_cluster_clearance_q05"": -0.12917022193908906, ""center_norm_pre_normalization"": 0.8230011707877478}]",2,"8,5",2,2,1.0,1.0,True
